case,s-corona,r-corona,r,s,3 discs density,density,type,minpoly r,minpoly s,1-discs,r-discs,s-discs,111,11r,11s,1rr,1rs,1ss,rrr,rrs,rss,sss,minpoly density
131,1rs1s,1s1sss,0.54882,0.425011,0.917772,0.917772,L,r^4 - 6*r^3 - 3*r^2 - 4*r + 4,s^4 - 24*s^3 - 16*s^2 + 4*s + 3,1,1,4,0,0,0,0,4,6,0,0,2,0,1536*x^4 - 22912*x^3 + 27956*x^2 - 20192*x + 4073
132,1rsr,1111ss,0.575385,0.194146,0.917705,0.917705,L,2*r^3 + 7*r^2 + 4*r - 5,4*s^3 + 5*s - 1,2,2,2,0,6,0,0,4,0,0,0,2,0,524288000*x^6 - 147679488*x^4 + 32049760*x^2 - 1985281
133,1rsr,111r1ss,0.882604,0.259471,0.913852,0.913852,L,r^10 + 4*r^9 - 60*r^8 - 396*r^7 - 586*r^6 - 36*r^5 - 1308*r^4 - 3748*r^3 - 607*r^2 + 3088*r + 1600,16*s^10 + 32*s^9 + 24*s^8 + 56*s^7 + 153*s^6 - 12*s^5 + 126*s^4 - 92*s^3 - 7*s^2 - 56*s + 16,2,2,2,0,4,0,2,4,0,0,0,2,0,33554432000*x^10 + 520968208384*x^9 - 788403572736*x^8 + 418685796352*x^7 + 4968213059072*x^6 + 4956530470912*x^5 + 2077974038192*x^4 + 387525835456*x^3 - 37673868200*x^2 + 3598812832*x - 35649751633
134,1rsr,111s1sss,0.787693,0.240919,0.920396,0.920396,L,4*r^3 + r^2 - 2*r - 1,8*s^3 + 7*s^2 + 2*s - 1,1,1,2,0,2,0,0,4,0,0,0,2,0,640*x^3 + 148*x^2 + 28*x - 37
135,1rsr,111ss,0.253693,0.103129,0.938718,0.938718,E,5*r^6 + 2*r^5 - 29*r^4 - 20*r^3 + 15*r^2 - 6*r + 1,16*s^6 + 32*s^5 + 24*s^4 + 16*s^3 + s^2 - 10*s + 1,1,2,2,0,4,0,0,4,0,0,0,2,0,10240000*x^6 - 44195840*x^5 - 99127808*x^4 - 61870208*x^3 - 9234284*x^2 + 4034560*x + 2157697
136,1rsr,11r1ss,0.464796,0.166169,0.924522,0.924522,L,2*r^5 + 13*r^4 + 22*r^3 - 4*r - 1,8*s^5 + 4*s^4 + 6*s^3 + 11*s^2 + 4*s - 1,1,2,2,0,2,0,2,4,0,0,0,2,0,4294967296*x^10 - 21740126208*x^8 + 41639952384*x^6 - 22216322816*x^4 + 18578657100*x^2 - 1468192489
137,1rsr,11rr1ss,0.848181,0.252889,0.913256,0.913256,H,81*r^24 + 216*r^23 - 25020*r^22 - 241272*r^21 + 1013970*r^20 + 25220232*r^19 + 134890708*r^18 + 275854616*r^17 + 196210991*r^16 - 559071760*r^15 - 3221990392*r^14 - 5058440240*r^13 - 163875396*r^12 + 4442469520*r^11 + 2898112072*r^10 + 55214256*r^9 - 660134465*r^8 - 357773640*r^7 - 119494476*r^6 - 31961304*r^5 - 4708206*r^4 + 682344*r^3 + 469476*r^2 + 87480*r + 6561,331776*s^24 + 221184*s^23 + 92160*s^22 + 2525184*s^21 + 11161344*s^20 + 6524928*s^19 - 18361088*s^18 - 4441856*s^17 + 32503536*s^16 + 19207264*s^15 + 3937064*s^14 - 974040*s^13 - 33494815*s^12 - 32534924*s^11 + 9170794*s^10 + 21069100*s^9 + 4622831*s^8 - 3464056*s^7 - 1545580*s^6 + 83360*s^5 + 139471*s^4 + 7332*s^3 - 3078*s^2 - 756*s + 81,7,6,6,6,6,0,6,12,0,2,0,6,0,1745184858965935656734454566709362688*x^24 - 8215620510959373732295439060802994176*x^23 - 2358547549209114967771997419630592262144*x^22 + 13998756807504079738256429758240021020672*x^21 - 106411060235560194281412972598629752635392*x^20 + 755017877637627243644365799024063517032448*x^19 - 2719488377036954795798109370256328241446912*x^18 + 10619434946995160431648097716357452477235200*x^17 - 13643493944204578360824217639888193511751680*x^16 - 129481256123737593965170776091271090367627264*x^15 + 779152390410364734122490083482234541934379008*x^14 - 1969331475832315493038314180854135351789223936*x^13 + 1951156651986976408720164562137208275836841984*x^12 + 588965081904579090753379834495336497432231936*x^11 - 2452149556812431734288730748483416516672919552*x^10 - 909771333273449088166952252036373101941260288*x^9 + 3315075244224169683128864219876316460527242496*x^8 - 1328745536627483677402604782236300797696114688*x^7 + 233652372646757361277962446569048825630841600*x^6 - 496384669215881328736542076671377751281442816*x^5 + 181608301761488092066520003882364294698732112*x^4 + 32364062877967087927152792202695183769150464*x^3 + 57237180126344912742849262082723164024024296*x^2 - 52802232704395914996496198253814814446940800*x + 9397013563801220260585642138507763608261875
138,1rsr,11s1sss,0.410836,0.151397,0.933093,0.933093,L,560*r^5 + 323*r^4 - 20*r^3 - 50*r^2 - 12*r - 1,128*s^5 + 252*s^4 + 156*s^3 + 27*s^2 - 2*s - 1,1,2,4,0,2,0,0,8,0,0,0,4,0,10976000*x^5 - 41324156*x^4 + 60407904*x^3 - 41472539*x^2 + 18476112*x - 3115628
139,1rsr,1r1r1ss,0.846951,0.252651,0.916585,0.916585,L,8*r^7 - 5*r^6 + 46*r^5 + 45*r^4 - 20*r^3 - 31*r^2 - 10*r - 1,16*s^7 + 80*s^6 + 184*s^5 + 168*s^4 + 65*s^3 + 5*s^2 - 5*s - 1,1,2,2,0,0,0,4,4,0,0,0,2,0,4194304*x^7 + 16269312*x^6 + 25845760*x^5 + 3708416*x^4 - 31641472*x^3 - 18316620*x^2 - 7754336*x + 4515073
140,1rsr,1r1s1sss,0.728714,0.228714,0.926128,0.926128,L,6*r^2 - 3*r - 1,6*s^2 + 3*s - 1,1,2,4,0,0,0,2,8,0,0,0,4,0,1024*x^4 - 16797*x^2 + 1452
141,1rsr,1rr1ss,0.283697,0.113037,0.940871,0.940871,H,3*r^3 - 45*r^2 + 9*r + 1,12*s^3 - 9*s + 1,1,6,6,0,0,0,6,12,0,2,0,6,0,4194304*x^6 - 13160374272*x^4 + 84895648740*x^2 - 7508702523
142,1rsr,1rrr1ss,0.784167,0.240205,0.917352,0.917352,H,r^6 + 18*r^5 + 351*r^4 - 2052*r^3 + 495*r^2 + 594*r + 81,4*s^6 - 28*s^5 + 385*s^4 + 84*s^3 - 198*s^2 + 9,2,7,6,0,0,0,6,12,0,6,0,6,0,872002879488*x^6 - 2012986183680*x^5 - 3314597989392*x^4 + 4004795333376*x^3 + 6094185436440*x^2 + 729460494144*x - 804505979593
143,1rsr,1s1s1ssss,0.635671,0.208266,0.934849,0.934849,H,3*r^4 + 60*r^3 - 18*r^2 - 12*r - 1,4*s^4 - 28*s^3 - 27*s^2 + 2*s + 1,1,2,6,0,0,0,0,12,0,0,0,6,0,746496*x^4 + 2115072*x^3 - 748332*x^2 - 2209248*x + 662089
144,1rsrs,111ssss,0.86515,0.484497,0.911501,0.911501,H,r^11 + 18*r^10 + 132*r^9 + 568*r^8 + 1454*r^7 + 1788*r^6 + 308*r^5 - 680*r^4 + 121*r^3 - 670*r^2 - 1120*r + 128,s^11 - 824*s^10 + 5452*s^9 - 14096*s^8 + 24438*s^7 - 20688*s^6 + 15404*s^5 - 13520*s^4 - 3375*s^3 + 5480*s^2 + 192*s - 512,2,2,4,0,4,0,0,4,2,0,0,6,0,8388608*x^11 + 500052328448*x^10 + 768946407424*x^9 - 6642572827952*x^8 + 2309222408008*x^7 + 17174811503973*x^6 - 62656335250172*x^5 - 572486841556*x^4 + 2703493119008*x^3 + 336436507184*x^2 - 22781711040*x + 34814666816
145,1rsrs,11ssss,0.438405,0.299248,0.920871,0.920871,L,5*r^6 + 38*r^5 + 39*r^4 - 28*r^3 + 19*r^2 - 10*r + 1,s^6 - 54*s^5 + 175*s^4 - 68*s^3 + 15*s^2 - 6*s + 1,1,2,4,0,2,0,0,4,2,0,0,6,0,1668800*x^6 - 1408977408*x^5 - 6390177584*x^4 + 19095551744*x^3 - 2358624412*x^2 - 611648928*x - 48761369
146,1rsrs,1r1ssss,0.82221,0.468169,0.912961,0.912961,H,2*r^9 + 17*r^8 + 120*r^7 + 56*r^6 + 60*r^5 - 2*r^4 - 88*r^3 - 40*r^2 + 2*r + 1,49*s^9 - 340*s^8 + 1200*s^7 - 1600*s^6 - 378*s^5 + 560*s^4 + 64*s^3 - 64*s^2 - 7*s + 4,1,2,4,0,0,0,2,4,2,0,0,6,0,24131043328*x^9 - 232456182528*x^8 + 388799116288*x^7 + 28056962816*x^6 + 3149489307392*x^5 - 228956736160*x^4 + 2089308490176*x^3 - 2002594178640*x^2 + 786578841296*x - 115705965299
147,1rssr,111ss,0.415072,0.294233,0.92418,0.922238,H,481*r^12 + 5532*r^11 + 19314*r^10 + 13676*r^9 - 55297*r^8 - 110280*r^7 - 31556*r^6 + 50744*r^5 + 7087*r^4 - 15828*r^3 + 6642*r^2 - 1188*r + 81,s^12 + 4*s^11 - 158*s^10 - 5836*s^9 - 20273*s^8 - 30072*s^7 - 11492*s^6 + 24456*s^5 + 50031*s^4 + 31860*s^3 - 20574*s^2 - 20412*s + 6561,1,3,6,0,0,0,0,12,0,0,0,6,2,18007908589891584*x^12 + 1948412566035726336*x^11 + 50632194597037996032*x^10 + 61780806078143698944*x^9 - 13974843488710188333312*x^8 + 15644471671183857661440*x^7 - 67491446305242244298688*x^6 + 199943937519670455055488*x^5 - 287451559996877515287744*x^4 + 344715620099395667306688*x^3 - 122510568104696666862180*x^2 + 14536873628251751607720*x - 696314562553955809297
148,1rssr,11r1ss,0.706662,0.432423,0.910531,0.910531,H,1296*r^20 - 6624*r^19 - 108968*r^18 - 465112*r^17 + 237057*r^16 + 5073016*r^15 + 6175832*r^14 - 6183400*r^13 - 6843124*r^12 + 6412440*r^11 + 5756984*r^10 - 3304568*r^9 - 3771530*r^8 - 11672*r^7 + 969320*r^6 + 314248*r^5 - 21860*r^4 - 26520*r^3 - 3024*r^2 + 432*r + 81,9*s^20 - 708*s^19 + 11254*s^18 + 50764*s^17 + 438893*s^16 - 1811280*s^15 + 3866888*s^14 - 15074384*s^13 + 6137410*s^12 - 13565112*s^11 - 43206396*s^10 - 11196440*s^9 - 5366606*s^8 - 19140240*s^7 - 902904*s^6 + 4224240*s^5 - 1579275*s^4 + 67932*s^3 + 748278*s^2 - 177876*s + 6561,7,6,6,6,6,0,6,12,0,0,0,6,2,46915416882327037228389236736*x^20 + 19931988309754814481676307005440*x^19 + 2244949201095673591086949255348224*x^18 + 81530403833011591290618796170018816*x^17 + 1152591799005283720656113369936363520*x^16 + 2413442914894937630161827337551740928*x^15 - 37573026827505570914842129786660454400*x^14 + 9153270208485565170580118771781599232*x^13 + 251642137932912510208104827440870342656*x^12 - 346627556880898110741986538094938095616*x^11 - 481673674641117580553132245232837296128*x^10 + 1083549499674159244983971294329366560768*x^9 + 973573936628255580212573004502594776576*x^8 - 4220867160890644936279884748084117057536*x^7 + 3617208397608666984649429775108573027328*x^6 + 610800972709536162293284273479468807168*x^5 - 2725229120906541125960774578507336341696*x^4 + 1163768497026392812231185022085813943552*x^3 + 319899024344340631039705688766818095872*x^2 - 321593554906401652926946658351737982016*x + 54502303521283386661988427017880666217
149,1rssr,11s1sss,0.866147,0.496248,0.911801,0.911801,H,529*r^12 - 2852*r^11 - 150350*r^10 + 538700*r^9 + 2083599*r^8 + 321336*r^7 - 1336836*r^6 - 636680*r^5 - 36417*r^4 + 8940*r^3 + 626*r^2 - 68*r + 1,s^12 - 164*s^11 + 2874*s^10 - 14628*s^9 + 11031*s^8 + 26104*s^7 - 15796*s^6 - 12968*s^5 + 6463*s^4 + 1836*s^3 - 486*s^2 - 180*s + 9,3,3,6,1,3,0,0,12,0,0,0,6,2,671898241*x^12 + 338094238776*x^11 + 47796221736072*x^10 + 2444215791842064*x^9 + 50129877054469968*x^8 + 295303338859042944*x^7 - 1268966384329072896*x^6 + 248208931232289792*x^5 + 4052411673586589952*x^4 - 7365577390224841728*x^3 + 6191351192063001600*x^2 - 2650815451131383808*x + 399337463805087744
150,1rssr,1r1ss,0.225947,0.181627,0.939598,0.939598,H,81*r^4 - 144*r^3 - 62*r^2 + 16*r + 1,9*s^4 - 204*s^3 - 170*s^2 - 12*s + 9,1,6,6,0,0,0,6,12,0,0,0,6,2,11664*x^4 + 1477440*x^3 - 127218168*x^2 - 91682352*x + 38760793
151,1rssr,1rr1ss,0.604595,0.387709,0.914455,0.914455,H,r^6 - 58*r^5 + 539*r^4 - 188*r^3 + 7*r^2 - 42*r - 3,s^6 - 242*s^5 - 157*s^4 - 172*s^3 - 41*s^2 + 126*s - 27,1,3,3,0,0,0,3,6,0,1,0,3,1,3981312*x^6 - 23887872*x^5 - 11642830848*x^4 + 36944391168*x^3 - 44415514752*x^2 + 25304097024*x - 4429810801
152,1rssr,1s1sss,0.416532,0.295016,0.91674,0.91468,S,r^4 - 14*r^3 - 27*r^2 + 4*r + 4,s^4 - 132*s^3 + 114*s^2 - 12*s - 3,3,3,3,2,6,0,0,6,0,0,0,3,1,44302336*x^8 + 9879146496*x^7 + 519030506832*x^6 - 913324000608*x^5 - 4515258651111*x^4 - 7030924417728*x^3 + 9983616588072*x^2 - 5862525237504*x + 1069660651536
153,1rsss,111ss,0.357427,0.212461,0.921582,0.921582,S,10439*r^12 + 91316*r^11 + 315422*r^10 + 526756*r^9 + 386297*r^8 + 4328*r^7 - 138204*r^6 - 39960*r^5 + 17513*r^4 + 9060*r^3 - 3682*r^2 + 372*r - 9,6561*s^12 + 8748*s^11 + 30618*s^10 - 2916*s^9 + 13527*s^8 - 15336*s^7 - 19188*s^6 - 11304*s^5 + 2271*s^4 + 2748*s^3 + 1018*s^2 - 372*s + 9,3,3,7,2,6,0,0,6,3,0,0,3,6,4781058403449334872932352*x^12 + 625004770038509122909765632*x^11 + 451449048642475692175580160*x^10 - 22768987295302236446683226112*x^9 + 27338184198068669175522256128*x^8 - 6456744319270125727705135104*x^7 + 38735551854990799932091398336*x^6 - 14407720969356198239429636352*x^5 - 27640504038934630626777072288*x^4 - 7669770401254754121454775808*x^3 + 1256033969825794879746815408*x^2 + 629758514544430926116907792*x + 112156973206790723965754139
154,1rsss,11r1ss,0.596438,0.291987,0.914322,0.914322,H,16*r^20 - 16480*r^19 - 256104*r^18 - 1735864*r^17 - 6458239*r^16 - 13861992*r^15 - 11645928*r^14 + 23385848*r^13 + 76281804*r^12 + 66301176*r^11 - 8047560*r^10 - 46203288*r^9 - 22197386*r^8 + 4030280*r^7 + 6398760*r^6 + 1484712*r^5 - 214436*r^4 - 125304*r^3 - 11664*r^2 + 432*r + 81,531441*s^20 - 21966228*s^19 + 108532062*s^18 - 311070132*s^17 + 738906381*s^16 - 986879376*s^15 + 1437453864*s^14 - 916537680*s^13 + 1029497202*s^12 + 38231784*s^11 - 270127692*s^10 + 656073192*s^9 - 171103022*s^8 - 313703376*s^7 + 39579816*s^6 + 26063856*s^5 - 11304675*s^4 + 725004*s^3 + 1010718*s^2 - 177876*s + 6561,7,6,14,6,6,0,6,12,6,0,0,6,12,108895985078225669870947275790029422592*x^20 - 96612162097319642382262034369532552806400*x^19 + 2102729742478682712408865000365732069900288*x^18 - 15982785494480155531585202035076717818675200*x^17 + 333207047211016138074640568263559829339045888*x^16 - 975440360531629753700181383324725387204755456*x^15 - 6705931218902002286338916381611869121497661440*x^14 + 25051887128067423326723584149290437444797726720*x^13 + 33581279581845367809811920558564965969534238720*x^12 - 158720130599321643776332667311725720293961498624*x^11 - 63729672559152329601418327774673367999827238912*x^10 + 360867726004591138989800282639881785638845906944*x^9 + 215917102921383317152674569466602489238693299712*x^8 - 483858523593083392152752806743457538326425231360*x^7 - 298043783811273253601272512296653025468762322432*x^6 + 251648834369678254690951086164924685210025543680*x^5 + 155967944230202562630581463901397471144660701632*x^4 - 27142172062053918684091236296597341803495919104*x^3 - 45531472734023798163776720962643539531831182240*x^2 - 11525312627162199101046050490576313204823219328*x + 6486230772768128308547522588254655271590930833
155,1rsss,11s1sss,0.643586,0.30505,0.918457,0.918457,H,10575*r^12 + 175380*r^11 + 459662*r^10 - 488668*r^9 - 1818511*r^8 - 25176*r^7 + 963012*r^6 + 119528*r^5 - 158111*r^4 + 8004*r^3 + 654*r^2 - 12*r - 1,59049*s^12 - 656100*s^11 + 2089314*s^10 - 1278180*s^9 - 2509785*s^8 + 1575288*s^7 + 1583388*s^6 - 209832*s^5 - 267641*s^4 + 10476*s^3 + 14370*s^2 - 756*s + 9,3,3,14,1,3,0,0,12,6,0,0,6,12,1232369078689440000*x^12 + 130125162960029505600*x^11 + 2564943701075054727633*x^10 - 16409330383632419557332*x^9 - 365265026819028351916848*x^8 + 2217375842432674955534208*x^7 - 2982867341037572986694784*x^6 - 780067269682437430536768*x^5 + 30390850084135247717475136*x^4 - 135890909418953269405628928*x^3 + 207886354056498964123673856*x^2 - 123224415688086718346588160*x + 21433658900559504346358784
156,1rsss,1r1ss,0.175073,0.127732,0.948662,0.948662,H,r^4 - 1108*r^3 - 90*r^2 + 44*r + 1,9*s^4 - 324*s^3 - 114*s^2 + 12*s + 1,1,6,14,0,0,0,6,12,6,0,0,6,12,17740944*x^4 - 17033359104*x^3 - 25350508440*x^2 - 4060412352*x + 4006568161
157,1rsss,1rr1ss,0.473303,0.254205,0.922774,0.922774,H,r^6 - 74*r^5 + 795*r^4 + 484*r^3 + 7*r^2 - 186*r - 3,81*s^6 - 1458*s^5 + 963*s^4 - 108*s^3 - 89*s^2 + 126*s - 27,1,3,7,0,0,0,3,6,3,1,0,3,6,26121388032*x^6 + 545646772224*x^5 - 8987534516736*x^4 + 21361215946752*x^3 - 21133089086292*x^2 + 9793448493552*x - 1528969086889
158,1rsss,1s1sss,0.282452,0.181116,0.936618,0.936618,H,9*r^4 - 6*r^3 - 35*r^2 - 4*r + 4,81*s^4 - 360*s^3 + 154*s^2 - 3,1,3,14,0,0,0,0,12,6,0,0,6,12,419904*x^4 + 2332800*x^3 - 24335100*x^2 - 34779744*x + 12466921
159,rrrr,11rrsr,0.632088,0.261819,0.911736,0.911735,H,r^8 - 56*r^7 + 732*r^6 - 136*r^5 - 1594*r^4 - 136*r^3 + 732*r^2 - 56*r + 1,s^8 + 72*s^7 - 1132*s^6 + 4712*s^5 - 7578*s^4 + 4088*s^3 - 492*s^2 - 40*s + 1,6,19,6,2,12,0,12,0,0,12,24,0,0,20736*x^8 + 6363795456*x^7 + 185141360786688*x^6 + 8321418320034816*x^5 + 77632438486179168*x^4 - 350995677061204224*x^3 + 518958968776425552*x^2 - 314283114369504960*x + 55511966099493601
160,rrrr,11rsr,0.216845,0.08982,0.939458,0.939458,E,r^4 - 4*r^3 - 2*r^2 - 4*r + 1,s^4 - 4*s^3 + 10*s^2 - 12*s + 1,1,4,1,0,4,0,4,0,0,0,4,0,0,2*x^4 - 40*x^3 - 100*x^2 - 204*x + 71
161,rrrr,1r1rsr,0.619914,0.256777,0.912783,0.912783,E,r^4 - 12*r^3 - 2*r^2 + 4*r + 1,s^4 + 28*s^3 - 38*s^2 + 4*s + 1,1,4,1,0,0,0,8,0,0,0,4,0,0,2*x^4 - 72*x^3 + 664*x^2 - 624*x + 127
162,rrrr,1rrrsr,0.349198,0.144643,0.91999,0.91999,E,r^4 - 28*r^3 - 10*r^2 + 4*r + 1,s^4 + 68*s^3 - 30*s^2 - 4*s + 1,1,14,3,0,0,0,12,0,0,12,12,0,0,2916*x^4 + 23328*x^3 + 29484*x^2 - 49968*x + 11497
163,rrsrs,1rssssr,0.533296,0.284405,0.91418,0.914179,L,8*r^3 + 3*r^2 - 2*r - 1,64*s^3 - 41*s^2 + 10*s - 1,1,4,4,0,2,0,4,0,0,0,4,8,0,1024*x^3 - 692*x^2 + 448*x - 97
164,rrsss,1rrsssr,0.386106,0.149078,0.922026,0.922026,H,9*r^4 - 12*r^3 - 26*r^2 - 12*r + 9,81*s^4 - 612*s^3 + 550*s^2 - 612*s + 81,2,6,7,0,6,0,6,0,0,0,6,6,6,76527504*x^4 - 2670589440*x^3 + 1457581608*x^2 - 2770651008*x + 754552609
